id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
401,501,4068631943231473,217,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
402,502,4177816490204479,813,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
403,503,4271805778010747,1220,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
404,504,4048033451067370,313,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
405,505,4297222478855497,1215,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
406,506,4558368405929183,417,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
407,507,4613250127567219,314,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
408,508,4839506591130477,213,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
409,509,4463525332822998,618,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
410,510,4149654190362629,420,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
411,511,4636879773663908,820,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
412,512,4625296309157421,614,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
413,513,4518913442963142,518,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
414,514,4035885351912165,1020,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
415,515,4556671029294436,412,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
416,516,4279380734327937,815,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
417,517,4257133712179878,1220,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
418,518,4055813232766404,619,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
419,519,4318767847968505,218,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
420,520,4890371279632775,718,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
421,521,4147902004736100,1117,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
422,522,4172068877354384,1117,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
423,523,4566763237167619,220,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
424,524,4970472137240748,1018,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
425,525,4380052321342904,616,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
426,526,4071916065529660,819,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
427,527,4614523378877635,119,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
428,528,4604223164580033,916,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
429,529,4349426879923290,912,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
430,530,4619850044750256,715,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
431,531,4130676021415743,415,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
432,532,4184649339029337,517,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
433,533,4343507988979548,520,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
434,534,4630207291165335,819,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
435,535,4018861240397577,120,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
436,536,4455102439190243,516,failed,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
437,537,4586019638473066,815,failed,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
438,538,4101975684775264,815,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
439,539,4440246143271800,613,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
440,540,4469794222279759,1113,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
441,541,4703838665590561,1219,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
442,542,4651783001570416,417,failed,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
443,543,4129696152212787,216,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
444,544,4240970000331800,415,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
445,545,4744975006319071,418,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
446,546,4425760116836126,1017,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
447,547,4858975029561904,1115,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
448,548,4760510205375050,113,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
449,549,4783318833951430,1017,failed,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
450,550,4693281017778847,517,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
451,551,4627895696270061,414,failed,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
452,552,4007233416896135,513,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
453,553,4270597833225324,118,failed,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
454,554,4579251434895555,213,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
455,555,4714659496556002,117,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
456,556,4253041019870013,1214,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
457,557,4116848067642966,1117,failed,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
458,558,4595625018759220,1218,failed,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
